2228040262 = cargopod_yellow_player, Cargo Pod (Yellow)
3121081674 = shield03_mark08_lf, Adv. Aegis L. F. Shield (Class 8 Positron)
3121605889 = shield03_mark01_lf, Armet L. F. Shield (Class 1 Positron)
3121605963 = shield03_mark09_lf, Brigandine L. F. Shield (Class 9 Positron)
3122130178 = shield03_mark02_lf, Adv. Armet L. F. Shield (Class 2 Positron)
3122654467 = shield03_mark03_lf, Cuisse L. F. Shield (Class 3 Positron)
3123178757 = shield03_mark04_lf, Adv. Cuisse L. F. Shield (Class 4 Positron)
3123703044 = shield03_mark05_lf, Pourpoint L. F. Shield (Class 5 Positron)
3124227335 = shield03_mark06_lf, Adv. Pourpoint L. F. Shield (Class 6 Positron)
3124751622 = shield03_mark07_lf, Aegis L. F. Shield (Class 7 Positron)
3125116292 = shield02_mark01_fr, Rampart Fr. Shield (Class 1 Molecular)
3125116366 = shield02_mark09_fr, Barrier Fr. Shield (Class 9 Molecular)
3125640655 = shield02_mark08_fr, Adv. Bulwark Fr. Shield (Class 8 Molecular)
3126164870 = shield02_mark03_fr, Sconce Fr. Shield (Class 3 Molecular)
3126689159 = shield02_mark02_fr, Adv. Rampart Fr. Shield (Class 2 Molecular)
3127213441 = shield02_mark05_fr, Palisade Fr. Shield (Class 5 Molecular)
3127737728 = shield02_mark04_fr, Adv. Sconce Fr. Shield (Class 4 Molecular)
3128262019 = shield02_mark07_fr, Bulwark Fr. Shield (Class 7 Molecular)
3128786306 = shield02_mark06_fr, Adv. Palisade Fr. Shield (Class 6 Molecular)
3129470274 = shield03_mark02_hf, Adv. Armet H. F. Shield (Class 2 Positron)
3129994563 = shield03_mark03_hf, Cuisse H. F. Shield (Class 3 Positron)
3130518794 = shield03_mark08_hf, Adv. Aegis H. F. Shield (Class 8 Positron)
3131043083 = shield03_mark09_hf, Brigandine H. F. Shield (Class 9 Positron)
3131043137 = shield03_mark01_hf, Armet H. F. Shield (Class 1 Positron)
3131567431 = shield03_mark06_hf, Adv. Pourpoint H. F. Shield (Class 6 Positron)
3132091718 = shield03_mark07_hf, Aegis H. F. Shield (Class 7 Positron)
3132616005 = shield03_mark04_hf, Adv. Cuisse H. F. Shield (Class 4 Positron)
3133140292 = shield03_mark05_hf, Pourpoint H. F. Shield (Class 5 Positron)
3137858894 = shield02_mark08_lf, Adv. Bulwark L. F. Shield (Class 8 Molecular)
3138383109 = shield02_mark01_lf, Rampart L. F. Shield (Class 1 Molecular)
3138383183 = shield02_mark09_lf, Barrier L. F. Shield (Class 9 Molecular)
3138907398 = shield02_mark02_lf, Adv. Rampart L. F. Shield (Class 2 Molecular)
3139431687 = shield02_mark03_lf, Sconce L. F. Shield (Class 3 Molecular)
3139955969 = shield02_mark04_lf, Adv. Sconce L. F. Shield (Class 4 Molecular)
3140480256 = shield02_mark05_lf, Palisade L. F. Shield (Class 5 Molecular)
3141004547 = shield02_mark06_lf, Adv. Palisade L. F. Shield (Class 6 Molecular)
3141528834 = shield02_mark07_lf, Bulwark L. F. Shield (Class 7 Molecular)
3141893504 = shield03_mark01_fr, Armet Fr. Shield (Class 1 Positron)
3141893578 = shield03_mark09_fr, Brigandine Fr. Shield (Class 9 Positron)
3142417867 = shield03_mark08_fr, Adv. Aegis Fr. Shield (Class 8 Positron)
3142942082 = shield03_mark03_fr, Cuisse Fr. Shield (Class 3 Positron)
3143466371 = shield03_mark02_fr, Adv. Armet Fr. Shield (Class 2 Positron)
3143990661 = shield03_mark05_fr, Pourpoint Fr. Shield (Class 5 Positron)
3144514948 = shield03_mark04_fr, Adv. Cuisse Fr. Shield (Class 4 Positron)
3145039239 = shield03_mark07_fr, Aegis Fr. Shield (Class 7 Positron)
3145563526 = shield03_mark06_fr, Adv. Pourpoint Fr. Shield (Class 6 Positron)
3146247494 = shield02_mark02_hf, Adv. Rampart H. F. Shield (Class 2 Molecular)
3146771783 = shield02_mark03_hf, Sconce H. F. Shield (Class 3 Molecular)
3147296014 = shield02_mark08_hf, Adv. Bulwark H. F. Shield (Class 8 Molecular)
3147820303 = shield02_mark09_hf, Barrier H. F. Shield (Class 9 Molecular)
3147820357 = shield02_mark01_hf, Rampart H. F. Shield (Class 1 Molecular)
3148344643 = shield02_mark06_hf, Adv. Palisade H. F. Shield (Class 6 Molecular)
3148868930 = shield02_mark07_hf, Bulwark H. F. Shield (Class 7 Molecular)
3149393217 = shield02_mark04_hf, Adv. Sconce H. F. Shield (Class 4 Molecular)
3149917504 = shield02_mark05_hf, Palisade H. F. Shield (Class 5 Molecular)
3152430478 = lifeboat_power_regen, Lifeboat Power Regen (special)
3187115852 = anubis_power_regen, Anubis Power Regen (special)
